title,sub_title,author,narrator,series,length,release_date,language
Heidi,,By: Johanna Spyri,Narrated by: Phil Chenevert,"Series: Heidi, Book 1",Length: 5 hrs and 29 mins,Release date: 02-13-25,Language: English
Hand of the Queen,"The Demon Accords, Book 20",By: John Conroe,Narrated by: Lily Ganser,"Series: The Demon Accords, Book 20",Length: 9 hrs and 13 mins,Release date: 02-18-25,Language: English
Awake,A Memoir,By: Jen Hatmaker,,,Length: 5 hrs and 30 mins,Release date: 09-23-25,Language: English
"Money, Lies, and God",Inside the Movement to Destroy American Democracy,By: Katherine Stewart,Narrated by: Patricia Rodriguez,,Length: 11 hrs and 36 mins,Release date: 02-18-25,Language: English
The Bennet Inheritance,,By: Jann Rowland,Narrated by: Harry Frost,,Length: 14 hrs and 57 mins,Release date: 02-18-25,Language: English
Field Reports,"Praxeology, Volume 3",By: Rian Stone,Narrated by: Rian Stone,"Series: Praxeology, Book 3",Length: 5 hrs and 2 mins,Release date: 02-18-25,Language: English
Daughter of the Dragon,"Wrath of the Stormking, Book 2",By: Michael G. Manning,Narrated by: Tim Gerard Reynolds,"Series: Wrath of the Stormking, Book 2",Length: 16 hrs and 44 mins,Release date: 02-18-25,Language: English
Beatitude,A Depraved Muses Department Novella,By: DJ Krimmer,"Narrated by: Marie Hawkins, Joe Arden",,Length: 3 hrs and 16 mins,Release date: 02-18-25,Language: English
Beatitude,A Depraved Muses Department Novella,By: DJ Krimmer,"Narrated by: Marie Hawkins, Joe Arden",,Length: 3 hrs and 16 mins,Release date: 02-18-25,Language: English
Beatitude,A Depraved Muses Department Novella,By: DJ Krimmer,"Narrated by: Marie Hawkins, Joe Arden",,Length: 3 hrs and 16 mins,Release date: 02-18-25,Language: English
Beatitude,A Depraved Muses Department Novella,By: DJ Krimmer,"Narrated by: Marie Hawkins, Joe Arden",,Length: 3 hrs and 16 mins,Release date: 02-18-25,Language: English
Beatitude,A Depraved Muses Department Novella,By: DJ Krimmer,"Narrated by: Marie Hawkins, Joe Arden",,Length: 3 hrs and 16 mins,Release date: 02-18-25,Language: English
Beatitude,A Depraved Muses Department Novella,By: DJ Krimmer,"Narrated by: Marie Hawkins, Joe Arden",,Length: 3 hrs and 16 mins,Release date: 02-18-25,Language: English
Beatitude,A Depraved Muses Department Novella,By: DJ Krimmer,"Narrated by: Marie Hawkins, Joe Arden",,Length: 3 hrs and 16 mins,Release date: 02-18-25,Language: English
Beatitude,A Depraved Muses Department Novella,By: DJ Krimmer,"Narrated by: Marie Hawkins, Joe Arden",,Length: 3 hrs and 16 mins,Release date: 02-18-25,Language: English
Beatitude,A Depraved Muses Department Novella,By: DJ Krimmer,"Narrated by: Marie Hawkins, Joe Arden",,Length: 3 hrs and 16 mins,Release date: 02-18-25,Language: English
Beatitude,A Depraved Muses Department Novella,By: DJ Krimmer,"Narrated by: Marie Hawkins, Joe Arden",,Length: 3 hrs and 16 mins,Release date: 02-18-25,Language: English
Beatitude,A Depraved Muses Department Novella,By: DJ Krimmer,"Narrated by: Marie Hawkins, Joe Arden",,Length: 3 hrs and 16 mins,Release date: 02-18-25,Language: English
Beatitude,A Depraved Muses Department Novella,By: DJ Krimmer,"Narrated by: Marie Hawkins, Joe Arden",,Length: 3 hrs and 16 mins,Release date: 02-18-25,Language: English
Beatitude,A Depraved Muses Department Novella,By: DJ Krimmer,"Narrated by: Marie Hawkins, Joe Arden",,Length: 3 hrs and 16 mins,Release date: 02-18-25,Language: English
Beatitude,A Depraved Muses Department Novella,By: DJ Krimmer,"Narrated by: Marie Hawkins, Joe Arden",,Length: 3 hrs and 16 mins,Release date: 02-18-25,Language: English
Beatitude,A Depraved Muses Department Novella,By: DJ Krimmer,"Narrated by: Marie Hawkins, Joe Arden",,Length: 3 hrs and 16 mins,Release date: 02-18-25,Language: English
Beatitude,A Depraved Muses Department Novella,By: DJ Krimmer,"Narrated by: Marie Hawkins, Joe Arden",,Length: 3 hrs and 16 mins,Release date: 02-18-25,Language: English
Beatitude,A Depraved Muses Department Novella,By: DJ Krimmer,"Narrated by: Marie Hawkins, Joe Arden",,Length: 3 hrs and 16 mins,Release date: 02-18-25,Language: English
Beatitude,A Depraved Muses Department Novella,By: DJ Krimmer,"Narrated by: Marie Hawkins, Joe Arden",,Length: 3 hrs and 16 mins,Release date: 02-18-25,Language: English
Beatitude,A Depraved Muses Department Novella,By: DJ Krimmer,"Narrated by: Marie Hawkins, Joe Arden",,Length: 3 hrs and 16 mins,Release date: 02-18-25,Language: English
Beatitude,A Depraved Muses Department Novella,By: DJ Krimmer,"Narrated by: Marie Hawkins, Joe Arden",,Length: 3 hrs and 16 mins,Release date: 02-18-25,Language: English
The Baby Swap,,By: Daniel Hurst,"Narrated by: Tamsin Kennard, Lucy Paterson",,Length: 7 hrs and 18 mins,Release date: 02-19-25,Language: English
The Baby Swap,,By: Daniel Hurst,"Narrated by: Tamsin Kennard, Lucy Paterson",,Length: 7 hrs and 18 mins,Release date: 02-19-25,Language: English
The Baby Swap,,By: Daniel Hurst,"Narrated by: Tamsin Kennard, Lucy Paterson",,Length: 7 hrs and 18 mins,Release date: 02-19-25,Language: English
The Baby Swap,,By: Daniel Hurst,"Narrated by: Tamsin Kennard, Lucy Paterson",,Length: 7 hrs and 18 mins,Release date: 02-19-25,Language: English
The Baby Swap,,By: Daniel Hurst,"Narrated by: Tamsin Kennard, Lucy Paterson",,Length: 7 hrs and 18 mins,Release date: 02-19-25,Language: English
The Baby Swap,,By: Daniel Hurst,"Narrated by: Tamsin Kennard, Lucy Paterson",,Length: 7 hrs and 18 mins,Release date: 02-19-25,Language: English
The Baby Swap,,By: Daniel Hurst,"Narrated by: Tamsin Kennard, Lucy Paterson",,Length: 7 hrs and 18 mins,Release date: 02-19-25,Language: English
The Baby Swap,,By: Daniel Hurst,"Narrated by: Tamsin Kennard, Lucy Paterson",,Length: 7 hrs and 18 mins,Release date: 02-19-25,Language: English
The Baby Swap,,By: Daniel Hurst,"Narrated by: Tamsin Kennard, Lucy Paterson",,Length: 7 hrs and 18 mins,Release date: 02-19-25,Language: English
The Baby Swap,,By: Daniel Hurst,"Narrated by: Tamsin Kennard, Lucy Paterson",,Length: 7 hrs and 18 mins,Release date: 02-19-25,Language: English
The Baby Swap,,By: Daniel Hurst,"Narrated by: Tamsin Kennard, Lucy Paterson",,Length: 7 hrs and 18 mins,Release date: 02-19-25,Language: English
The Baby Swap,,By: Daniel Hurst,"Narrated by: Tamsin Kennard, Lucy Paterson",,Length: 7 hrs and 18 mins,Release date: 02-19-25,Language: English
The Baby Swap,,By: Daniel Hurst,"Narrated by: Tamsin Kennard, Lucy Paterson",,Length: 7 hrs and 18 mins,Release date: 02-19-25,Language: English
The Baby Swap,,By: Daniel Hurst,"Narrated by: Tamsin Kennard, Lucy Paterson",,Length: 7 hrs and 18 mins,Release date: 02-19-25,Language: English
The Baby Swap,,By: Daniel Hurst,"Narrated by: Tamsin Kennard, Lucy Paterson",,Length: 7 hrs and 18 mins,Release date: 02-19-25,Language: English
The Baby Swap,,By: Daniel Hurst,"Narrated by: Tamsin Kennard, Lucy Paterson",,Length: 7 hrs and 18 mins,Release date: 02-19-25,Language: English
The Baby Swap,,By: Daniel Hurst,"Narrated by: Tamsin Kennard, Lucy Paterson",,Length: 7 hrs and 18 mins,Release date: 02-19-25,Language: English
The Baby Swap,,By: Daniel Hurst,"Narrated by: Tamsin Kennard, Lucy Paterson",,Length: 7 hrs and 18 mins,Release date: 02-19-25,Language: English
The Baby Swap,,By: Daniel Hurst,"Narrated by: Tamsin Kennard, Lucy Paterson",,Length: 7 hrs and 18 mins,Release date: 02-19-25,Language: English
The Baby Swap,,By: Daniel Hurst,"Narrated by: Tamsin Kennard, Lucy Paterson",,Length: 7 hrs and 18 mins,Release date: 02-19-25,Language: English
The Technological Republic,"Hard Power, Soft Belief, and the Future of the West","By: Alexander C. Karp, Nicholas W. Zamiska",Narrated by: Nicholas W. Zamiska,,Length: 6 hrs and 50 mins,Release date: 02-18-25,Language: English
The Technological Republic,"Hard Power, Soft Belief, and the Future of the West","By: Alexander C. Karp, Nicholas W. Zamiska",Narrated by: Nicholas W. Zamiska,,Length: 6 hrs and 50 mins,Release date: 02-18-25,Language: English
The Technological Republic,"Hard Power, Soft Belief, and the Future of the West","By: Alexander C. Karp, Nicholas W. Zamiska",Narrated by: Nicholas W. Zamiska,,Length: 6 hrs and 50 mins,Release date: 02-18-25,Language: English
The Technological Republic,"Hard Power, Soft Belief, and the Future of the West","By: Alexander C. Karp, Nicholas W. Zamiska",Narrated by: Nicholas W. Zamiska,,Length: 6 hrs and 50 mins,Release date: 02-18-25,Language: English
The Technological Republic,"Hard Power, Soft Belief, and the Future of the West","By: Alexander C. Karp, Nicholas W. Zamiska",Narrated by: Nicholas W. Zamiska,,Length: 6 hrs and 50 mins,Release date: 02-18-25,Language: English
The Technological Republic,"Hard Power, Soft Belief, and the Future of the West","By: Alexander C. Karp, Nicholas W. Zamiska",Narrated by: Nicholas W. Zamiska,,Length: 6 hrs and 50 mins,Release date: 02-18-25,Language: English
The Technological Republic,"Hard Power, Soft Belief, and the Future of the West","By: Alexander C. Karp, Nicholas W. Zamiska",Narrated by: Nicholas W. Zamiska,,Length: 6 hrs and 50 mins,Release date: 02-18-25,Language: English
The Technological Republic,"Hard Power, Soft Belief, and the Future of the West","By: Alexander C. Karp, Nicholas W. Zamiska",Narrated by: Nicholas W. Zamiska,,Length: 6 hrs and 50 mins,Release date: 02-18-25,Language: English
The Technological Republic,"Hard Power, Soft Belief, and the Future of the West","By: Alexander C. Karp, Nicholas W. Zamiska",Narrated by: Nicholas W. Zamiska,,Length: 6 hrs and 50 mins,Release date: 02-18-25,Language: English
The Technological Republic,"Hard Power, Soft Belief, and the Future of the West","By: Alexander C. Karp, Nicholas W. Zamiska",Narrated by: Nicholas W. Zamiska,,Length: 6 hrs and 50 mins,Release date: 02-18-25,Language: English
The Technological Republic,"Hard Power, Soft Belief, and the Future of the West","By: Alexander C. Karp, Nicholas W. Zamiska",Narrated by: Nicholas W. Zamiska,,Length: 6 hrs and 50 mins,Release date: 02-18-25,Language: English
The Technological Republic,"Hard Power, Soft Belief, and the Future of the West","By: Alexander C. Karp, Nicholas W. Zamiska",Narrated by: Nicholas W. Zamiska,,Length: 6 hrs and 50 mins,Release date: 02-18-25,Language: English
The Technological Republic,"Hard Power, Soft Belief, and the Future of the West","By: Alexander C. Karp, Nicholas W. Zamiska",Narrated by: Nicholas W. Zamiska,,Length: 6 hrs and 50 mins,Release date: 02-18-25,Language: English
The Technological Republic,"Hard Power, Soft Belief, and the Future of the West","By: Alexander C. Karp, Nicholas W. Zamiska",Narrated by: Nicholas W. Zamiska,,Length: 6 hrs and 50 mins,Release date: 02-18-25,Language: English
The Technological Republic,"Hard Power, Soft Belief, and the Future of the West","By: Alexander C. Karp, Nicholas W. Zamiska",Narrated by: Nicholas W. Zamiska,,Length: 6 hrs and 50 mins,Release date: 02-18-25,Language: English
The Technological Republic,"Hard Power, Soft Belief, and the Future of the West","By: Alexander C. Karp, Nicholas W. Zamiska",Narrated by: Nicholas W. Zamiska,,Length: 6 hrs and 50 mins,Release date: 02-18-25,Language: English
The Technological Republic,"Hard Power, Soft Belief, and the Future of the West","By: Alexander C. Karp, Nicholas W. Zamiska",Narrated by: Nicholas W. Zamiska,,Length: 6 hrs and 50 mins,Release date: 02-18-25,Language: English
The Technological Republic,"Hard Power, Soft Belief, and the Future of the West","By: Alexander C. Karp, Nicholas W. Zamiska",Narrated by: Nicholas W. Zamiska,,Length: 6 hrs and 50 mins,Release date: 02-18-25,Language: English
The Technological Republic,"Hard Power, Soft Belief, and the Future of the West","By: Alexander C. Karp, Nicholas W. Zamiska",Narrated by: Nicholas W. Zamiska,,Length: 6 hrs and 50 mins,Release date: 02-18-25,Language: English
The Technological Republic,"Hard Power, Soft Belief, and the Future of the West","By: Alexander C. Karp, Nicholas W. Zamiska",Narrated by: Nicholas W. Zamiska,,Length: 6 hrs and 50 mins,Release date: 02-18-25,Language: English
